X;Y;type;name;address;com_insee;com_nom;geometry
2.4658064;48.7895312997445;pharmacy;Pharmacie Dahan;;94028;Créteil;POINT (2.4658064 48.7895312997445)
2.5873245;48.8017283997415;mall;Communauté Emmaüs;;94059;Le Plessis-Trévise;POINT (2.5873245 48.8017283997415)
2.4735825;48.7523658997537;restaurant;La Bonne Pizza;13 Place Arthur Rimbaud;94044;Limeil-Brévannes;POINT (2.4735825 48.7523658997537)
2.4706115;48.7952513997431;restaurant;Domaine Saint-Catherine;22-24 allée centrale, île Brise-Pain;94028;Créteil;POINT (2.4706115 48.7952513997431)
2.5094116;48.7717259997489;pharmacy;Pharmacie de la gare;;94071;Sucy-en-Brie;POINT (2.5094116 48.7717259997489)
2.5061337;48.7531507997535;cafe;Au Bar à Bières;;94004;Boissy-Saint-Léger;POINT (2.5061337 48.7531507997535)
2.4141442;48.8132592997386;bakery;;;94002;Alfortville;POINT (2.4141442 48.8132592997386)
2.515393;48.775466399748;cafe;Le Manito;;94071;Sucy-en-Brie;POINT (2.515393 48.775466399748)
2.4190239;48.8052779997406;bar;Café de la Paix;;94002;Alfortville;POINT (2.4190239 48.8052779997406)
2.5720397;48.8107356997393;bar;Le Trévise;20 Avenue Ardouin;94059;Le Plessis-Trévise;POINT (2.5720397 48.8107356997393)
2.5410884;48.8014871997416;pharmacy;Proxipharma;;94019;Chennevières-sur-Marne;POINT (2.5410884 48.8014871997416)
2.5402611;48.8016444997415;bakery;La Canaveroise;;94019;Chennevières-sur-Marne;POINT (2.5402611 48.8016444997415)
2.4312272;48.7856846997455;pharmacy;Pharmacie Mulard;5 Rue de Grenoble;94002;Alfortville;POINT (2.4312272 48.7856846997455)
2.4812169;48.747499799755;bakery;Bread's;3 Rue des Herbages de Sèze;94044;Limeil-Brévannes;POINT (2.4812169 48.747499799755)
2.487966;48.7517542997539;bakery;;;94044;Limeil-Brévannes;POINT (2.487966 48.7517542997539)
2.4166651;48.8101871997394;supermarket;Supermarché/Pâtisserie Dilara;34 Rue de Seine;94002;Alfortville;POINT (2.4166651 48.8101871997394)
2.5208259;48.7706485997492;sports;Sport 2000;;94071;Sucy-en-Brie;POINT (2.5208259 48.7706485997492)
2.57301;48.8099474997395;bakery;La Comtesse de Trévise;7 Ter Avenue Ardouin;94059;Le Plessis-Trévise;POINT (2.57301 48.8099474997395)
